ID,start,end,code,team,action,half,pos_x,pos_y
3103,3873.07,3893.07,21. Gian Lucca Weintraub,Seattle United 06 Tango,Passes into the penalty box,2nd half,71.1,26.1
3104,3873.07,3893.07,21. Gian Lucca Weintraub,Seattle United 06 Tango,Free-kick attacks,2nd half,71.1,26.1
3105,3873.16,3893.16,25. Benton Tameling,Seattle United 06 Tango,Free-kick attacks,2nd half,97.5,45.9
3106,3874.12,3894.12,25. Benton Tameling,Seattle United 06 Tango,Free-kick attacks,2nd half,100.7,37.9
3107,3874.12,3894.12,25. Benton Tameling,Seattle United 06 Tango,Shot into the bar/post,2nd half,100.7,37.9
3108,3874.12,3894.12,1. Noname A18,Sound FC 06,Wide shot (Goalkeepers),2nd half,4.3,30.1
3109,3874.12,3894.12,25. Benton Tameling,Seattle United 06 Tango,Shots,2nd half,100.7,37.9
3110,3874.33,3894.33,5. Noname Noname,Sound FC 06,Free-kick attacks,2nd half,3.9,31.0
3111,3874.33,3894.33,5. Noname Noname,Sound FC 06,Errors,2nd half,3.9,31.0
3112,3939.24,3959.24,21. Gian Lucca Weintraub,Seattle United 06 Tango,Corner attacks,2nd half,105.0,68.0
3113,3939.24,3959.24,21. Gian Lucca Weintraub,Seattle United 06 Tango,Corner attacks,2nd half,105.0,68.0
3114,3939.24,3959.24,21. Gian Lucca Weintraub,Seattle United 06 Tango,Passes (inaccurate),2nd half,105.0,68.0
3115,3939.24,3959.24,21. Gian Lucca Weintraub,Seattle United 06 Tango,Passes into the penalty box,2nd half,105.0,68.0
3116,3940.86,3960.86,18. Noname Noname,Sound FC 06,Corner attacks,2nd half,7.0,30.9
3117,3940.86,3960.86,18. Noname Noname,Sound FC 06,Interceptions,2nd half,7.0,30.9
3118,3943.02,3963.02,43. Finn Harney,Seattle United 06 Tango,Challenges (won),2nd half,91.7,31.0
3119,3943.02,3963.02,43. Finn Harney,Seattle United 06 Tango,Air challenges (won),2nd half,91.7,31.0
3120,3943.02,3963.02,43. Finn Harney,Seattle United 06 Tango,Corner attacks,2nd half,91.7,31.0
3121,3943.02,3963.02,8. Noname A19,Sound FC 06,Challenges (lost),2nd half,13.3,37
3122,3943.02,3963.02,43. Finn Harney,Seattle United 06 Tango,Passes accurate,2nd half,91.7,31.0
3123,3943.02,3963.02,43. Finn Harney,Seattle United 06 Tango,Passes into the penalty box,2nd half,91.7,31.0
3124,3943.02,3963.02,8. Noname A19,Sound FC 06,Air challenges (lost),2nd half,13.3,37
3125,3943.02,3963.02,43. Finn Harney,Seattle United 06 Tango,Corner attacks,2nd half,91.7,31.0
3126,3943.98,3963.98,33. Kirby Winfield III,Seattle United 06 Tango,Corner attacks,2nd half,97.6,32.4
3127,3943.98,3963.98,33. Kirby Winfield III,Seattle United 06 Tango,Passes into the penalty box,2nd half,97.6,32.4
3128,3943.98,3963.98,33. Kirby Winfield III,Seattle United 06 Tango,Lost balls,2nd half,101.1,35.4
3129,3943.98,3963.98,33. Kirby Winfield III,Seattle United 06 Tango,Passes (inaccurate),2nd half,97.6,32.4
3130,3943.98,3963.98,4. Noname A17,Sound FC 06,Challenges (lost),2nd half,7.4,35.6
3131,3943.98,3963.98,33. Kirby Winfield III,Seattle United 06 Tango,Challenges (won),2nd half,97.6,32.4
3132,3943.98,3963.98,33. Kirby Winfield III,Seattle United 06 Tango,Air challenges (won),2nd half,97.6,32.4
3133,3943.98,3963.98,4. Noname A17,Sound FC 06,Air challenges (lost),2nd half,7.4,35.6
3134,3943.98,3963.98,33. Kirby Winfield III,Seattle United 06 Tango,Corner attacks,2nd half,97.6,32.4
3135,3945.22,3965.22,18. Noname Noname,Sound FC 06,Interceptions,2nd half,3.9,32.6
3136,3945.22,3965.22,18. Noname Noname,Sound FC 06,Corner attacks,2nd half,3.9,32.6
